file,line,kind,name,finisher,n_tactics,last_tactic
.lake/packages/mathlib/Mathlib/Tactic/Module.lean,156,theorem,smul_eq_eval,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/TransfiniteIteration.lean,28,lemma,transfiniteIterate_succ,rfl,3,rfl
.lake/packages/mathlib/Mathlib/Order/DirectedInverseSystem.lean,243,theorem,piLTLim_symm_apply,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/SupIndep.lean,287,theorem,iSupIndep_def,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/OrdContinuous.lean,120,theorem,map_iSup,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/OrdContinuous.lean,132,theorem,map_csSup,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/LiminfLimsup.lean,522,theorem,cofinite.bliminf_set_eq,rfl,4,rfl
.lake/packages/mathlib/Mathlib/Order/Closure.lean,496,theorem,closureOperator_gi_self,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Order/Completion.lean,204,theorem,principal_lt_iff,rfl,4,rfl
.lake/packages/mathlib/Mathlib/Order/Completion.lean,211,theorem,lt_principal_iff,rfl,5,rfl
.lake/packages/mathlib/Mathlib/Order/Concept.lean,233,theorem,ext,rfl,4,rfl
.lake/packages/mathlib/Mathlib/Order/Concept.lean,240,theorem,ext',rfl,4,rfl
.lake/packages/mathlib/Mathlib/Order/Shrink.lean,23,lemma,equivShrink_bot,rfl,4,rfl
.lake/packages/mathlib/Mathlib/Order/GameAdd.lean,113,theorem,gameAdd_iff,rfl,2,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/PartialEquiv.lean,199,theorem,le_codRestrict,rfl,3,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/PartialEquiv.lean,230,theorem,toEquivOfEqTop_toEmbedding,rfl,4,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/Semantics.lean,35,theorem,realize_var,rfl,1,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/Graph.lean,74,theorem,_root_.SimpleGraph.simpleGraphOfStructure,rfl,2,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/LanguageMap.lean,92,theorem,id_comp,rfl,2,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/LanguageMap.lean,97,theorem,comp_id,rfl,2,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/DirectLimit.lean,336,theorem,lift_of,rfl,4,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/DirectLimit.lean,444,theorem,Equiv_isup_of_apply,rfl,3,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/Substructures.lean,826,theorem,domRestrict_apply,rfl,4,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/Types.lean,164,theorem,mem_typeOf,rfl,1,rfl
.lake/packages/mathlib/Mathlib/ModelTheory/Definability.lean,615,theorem,termDefinable,rfl,1,rfl
.lake/packages/mathlib/Mathlib/Topology/Germ.lean,92,theorem,forall_restrictGermPredicate_iff,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/UnitInterval.lean,40,theorem,fract_mem,norm_num,1,"norm_num [unitInterval, Real.Icc_eq_closedBall]"
.lake/packages/mathlib/Mathlib/Topology/LocallyClosed.lean,53,theorem,coborder_eq_union_closure_compl,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Clopen.lean,136,theorem,continuousOn_boolIndicator_iff_isClopen,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Inseparable.lean,172,theorem,not_specializes_iff_exists_open,rfl,3,rfl
.lake/packages/mathlib/Mathlib/Topology/Inseparable.lean,177,theorem,not_specializes_iff_exists_closed,rfl,3,rfl
.lake/packages/mathlib/Mathlib/Topology/Inseparable.lean,712,theorem,lift,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Inseparable.lean,732,theorem,continuousAt_lift,rfl,3,rfl
.lake/packages/mathlib/Mathlib/Topology/Constructions.lean,435,theorem,Continuous.rangeFactorization,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Constructions.lean,1183,theorem,continuous_sigmaMk,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Path.lean,273,theorem,extend_trans_of_half_le,linarith,4,linarith
.lake/packages/mathlib/Mathlib/Topology/Path.lean,307,theorem,map_coe,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Path.lean,325,theorem,map_id,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Path.lean,330,theorem,map_map,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/Path.lean,570,theorem,coe_reparam,rfl,2,rfl
.lake/packages/mathlib/Mathlib/Topology/DiscreteQuotient.lean,130,theorem,comap_comp,rfl,2,rfl
