file,mutation_idx,def_name,original_op,new_op,new_rhs,finisher,ok,err
Q3.lean,0,benAge,*,+,12,rfl,True,
Q3.lean,0,benAge,*,+,12,decide,True,
Q3.lean,0,benAge,*,+,12,norm_num,True,
Q3.lean,0,benAge,*,+,12,omega,True,
Q3.lean,0,benAge,*,+,12,linarith,True,
Q3.lean,0,benAge,*,+,12,ring,True,
Q3.lean,1,benAge,*,-,4,rfl,True,
Q3.lean,1,benAge,*,-,4,decide,True,
Q3.lean,1,benAge,*,-,4,norm_num,True,
Q3.lean,1,benAge,*,-,4,omega,True,
Q3.lean,1,benAge,*,-,4,linarith,True,
Q3.lean,1,benAge,*,-,4,ring,True,
Q3.lean,2,benAge,*,/,8,rfl,True,
Q3.lean,2,benAge,*,/,8,decide,True,
Q3.lean,2,benAge,*,/,8,norm_num,True,
Q3.lean,2,benAge,*,/,8,omega,True,
Q3.lean,2,benAge,*,/,8,linarith,True,
Q3.lean,2,benAge,*,/,8,ring,True,
Q3.lean,3,brandonAge,*,+,6,rfl,True,
Q3.lean,3,brandonAge,*,+,6,decide,True,
Q3.lean,3,brandonAge,*,+,6,norm_num,True,
Q3.lean,3,brandonAge,*,+,6,omega,True,
Q3.lean,3,brandonAge,*,+,6,linarith,True,
Q3.lean,3,brandonAge,*,+,6,ring,True,
Q3.lean,4,brandonAge,*,-,2,rfl,True,
Q3.lean,4,brandonAge,*,-,2,decide,True,
Q3.lean,4,brandonAge,*,-,2,norm_num,True,
Q3.lean,4,brandonAge,*,-,2,omega,True,
Q3.lean,4,brandonAge,*,-,2,linarith,True,
Q3.lean,4,brandonAge,*,-,2,ring,True,
Q3.lean,5,brandonAge,*,/,2,rfl,True,
Q3.lean,5,brandonAge,*,/,2,decide,True,
Q3.lean,5,brandonAge,*,/,2,norm_num,True,
Q3.lean,5,brandonAge,*,/,2,omega,True,
Q3.lean,5,brandonAge,*,/,2,linarith,True,
Q3.lean,5,brandonAge,*,/,2,ring,True,
Q6.lean,0,totalCalories,*,+,19,rfl,True,
Q6.lean,0,totalCalories,*,+,19,decide,True,
Q6.lean,0,totalCalories,*,+,19,norm_num,True,
Q6.lean,0,totalCalories,*,+,19,omega,True,
Q6.lean,0,totalCalories,*,+,19,linarith,True,
Q6.lean,0,totalCalories,*,+,19,ring,True,
Q6.lean,1,totalCalories,*,-,13,rfl,True,
Q6.lean,1,totalCalories,*,-,13,decide,True,
Q6.lean,1,totalCalories,*,-,13,norm_num,True,
Q6.lean,1,totalCalories,*,-,13,omega,True,
Q6.lean,1,totalCalories,*,-,13,linarith,True,
Q6.lean,1,totalCalories,*,-,13,ring,True,
Q6.lean,2,totalCalories,*,/,5,rfl,True,
Q6.lean,2,totalCalories,*,/,5,decide,True,
Q6.lean,2,totalCalories,*,/,5,norm_num,True,
Q6.lean,2,totalCalories,*,/,5,omega,True,
Q6.lean,2,totalCalories,*,/,5,linarith,True,
Q6.lean,2,totalCalories,*,/,5,ring,True,
Q6.lean,3,totalCalories,*,+,30,rfl,True,
Q6.lean,3,totalCalories,*,+,30,decide,True,
Q6.lean,3,totalCalories,*,+,30,norm_num,True,
Q6.lean,3,totalCalories,*,+,30,omega,True,
Q6.lean,3,totalCalories,*,+,30,linarith,True,
Q6.lean,3,totalCalories,*,+,30,ring,True,
Q6.lean,4,totalCalories,*,-,0,rfl,True,
Q6.lean,4,totalCalories,*,-,0,decide,True,
Q6.lean,4,totalCalories,*,-,0,norm_num,True,
Q6.lean,4,totalCalories,*,-,0,omega,True,
Q6.lean,4,totalCalories,*,-,0,linarith,False,linarith failed to find a contradiction case h2 a✝ : 0 < (2 - 8) * 3 ⊢ False failed
Q6.lean,4,totalCalories,*,-,0,ring,True,
Q6.lean,5,totalCalories,*,/,0,rfl,True,
Q6.lean,5,totalCalories,*,/,0,decide,True,
Q6.lean,5,totalCalories,*,/,0,norm_num,True,
Q6.lean,5,totalCalories,*,/,0,omega,True,
Q6.lean,5,totalCalories,*,/,0,linarith,False,linarith failed to find a contradiction case h1 a✝ : 2 / 8 * 3 < 0 ⊢ False failed
Q6.lean,5,totalCalories,*,/,0,ring,True,
Q8.lean,0,barrelsPerYear,*,+,52,rfl,True,
Q8.lean,0,barrelsPerYear,*,+,52,decide,True,
Q8.lean,0,barrelsPerYear,*,+,52,norm_num,True,
Q8.lean,0,barrelsPerYear,*,+,52,omega,True,
Q8.lean,0,barrelsPerYear,*,+,52,linarith,True,
Q8.lean,0,barrelsPerYear,*,+,52,ring,True,
Q8.lean,1,barrelsPerYear,*,-,48,rfl,True,
Q8.lean,1,barrelsPerYear,*,-,48,decide,True,
Q8.lean,1,barrelsPerYear,*,-,48,norm_num,True,
Q8.lean,1,barrelsPerYear,*,-,48,omega,True,
Q8.lean,1,barrelsPerYear,*,-,48,linarith,True,
Q8.lean,1,barrelsPerYear,*,-,48,ring,True,
Q8.lean,2,barrelsPerYear,*,/,25,rfl,True,
Q8.lean,2,barrelsPerYear,*,/,25,decide,True,
Q8.lean,2,barrelsPerYear,*,/,25,norm_num,True,
Q8.lean,2,barrelsPerYear,*,/,25,omega,True,
Q8.lean,2,barrelsPerYear,*,/,25,linarith,True,
Q8.lean,2,barrelsPerYear,*,/,25,ring,True,
Q8.lean,3,barrelsPerYear,*,+,30,rfl,True,
Q8.lean,3,barrelsPerYear,*,+,30,decide,True,
Q8.lean,3,barrelsPerYear,*,+,30,norm_num,True,
Q8.lean,3,barrelsPerYear,*,+,30,omega,True,
Q8.lean,3,barrelsPerYear,*,+,30,linarith,True,
Q8.lean,3,barrelsPerYear,*,+,30,ring,True,
Q8.lean,4,barrelsPerYear,*,-,10,rfl,True,
Q8.lean,4,barrelsPerYear,*,-,10,decide,True,
Q8.lean,4,barrelsPerYear,*,-,10,norm_num,True,
Q8.lean,4,barrelsPerYear,*,-,10,omega,True,
Q8.lean,4,barrelsPerYear,*,-,10,linarith,True,
Q8.lean,4,barrelsPerYear,*,-,10,ring,True,
Q8.lean,5,barrelsPerYear,*,/,4,rfl,True,
Q8.lean,5,barrelsPerYear,*,/,4,decide,True,
Q8.lean,5,barrelsPerYear,*,/,4,norm_num,True,
Q8.lean,5,barrelsPerYear,*,/,4,omega,True,
Q8.lean,5,barrelsPerYear,*,/,4,linarith,True,
Q8.lean,5,barrelsPerYear,*,/,4,ring,True,
Q10.lean,0,yellowBlocks,*,+,22,rfl,True,
Q10.lean,0,yellowBlocks,*,+,22,decide,True,
Q10.lean,0,yellowBlocks,*,+,22,norm_num,True,
Q10.lean,0,yellowBlocks,*,+,22,omega,True,
Q10.lean,0,yellowBlocks,*,+,22,linarith,True,
Q10.lean,0,yellowBlocks,*,+,22,ring,True,
Q10.lean,1,yellowBlocks,*,-,28,rfl,True,
Q10.lean,1,yellowBlocks,*,-,28,decide,True,
Q10.lean,1,yellowBlocks,*,-,28,norm_num,True,
Q10.lean,1,yellowBlocks,*,-,28,omega,True,
Q10.lean,1,yellowBlocks,*,-,28,linarith,True,
Q10.lean,1,yellowBlocks,*,-,28,ring,True,
Q10.lean,2,yellowBlocks,*,/,28,rfl,True,
Q10.lean,2,yellowBlocks,*,/,28,decide,True,
